word1,word2,word1WithWord2,isMenuItem,awardType,uriPremiumVideo,fromAssets
cane,abbaiare, , , , ,Y
abbottonare,pantaloni, , , , ,Y
mamma,abbracciare, , , , ,Y
papà,abbracciare, , , , ,Y
nonna,abbracciare, , , , ,Y
mamma,accarezzare, , , , ,Y
papà,accarezzare, , , , ,Y
nonna,accarezzare, , , , ,Y
accendere,televisione, , , , ,Y
accendere,tablet, , , , ,Y
accendere,luce, , , , ,Y
aggiustare,giocattolo, , , , ,Y
aggiustare,macchina, , , , ,Y
aiutare,mamma, , ,V, ,Y
aiutare,papà, , , , ,Y
io,aiutare, , , , ,Y
allacciare,scarpe, , , , ,Y
mamma,andare, , , , ,Y
papà,andare, , , , ,Y
io,andare, , , , ,Y
andare,scuola, , , , ,Y
andare,casa, , , , ,Y
andare,bosco, , , , ,Y
andare,parco, , , , ,Y
andare,cavalli, , , , ,Y
apparecchiare,tavola, , , , ,Y
aprire,porta, , , , ,Y
arrivare,mamma, , , , ,Y
arrivare,papà, , , , ,Y
aspettare,mamma, , , , ,Y
aspettare,papà, , , , ,Y
io,aspettare, , , , ,Y
mamma,baciare, , , , ,Y
papà,baciare, , , , ,Y
nonna,baciare, , , , ,Y
baciare,mamma, , , , ,Y
baciare,papà, , , , ,Y
baciare,nonna, , , , ,Y
io,baciare, , , , ,Y
bere,bicchiere, , , , ,Y
bere,bottiglia, , , , ,Y
io,bere, , , , ,Y
bere,acqua, , , , ,Y
io,cadere, , , , ,Y
io,camminare, , , , ,Y
mamma,cantare, , , , ,Y
mamma,chiamare, , , , ,Y
papà,chiamare, , , , ,Y
nonna,chiamare, , , , ,Y
chiudere,porta, , , , ,Y
io,correre, , , , ,Y
papà,correre, , , , ,Y
correre,parco, , , , ,Y
papà,cucinare, , , , ,Y
mamma,cucinare, , , , ,Y
nonna,cucinare, , , , ,Y
io,dire, , , , ,Y
io,disegnare, , , , ,Y
disegnare,geco, , , , ,Y
disegnare,gufetta, , , , ,Y
disegnare,gattoboi, , , , ,Y
io,dormire, , , , ,Y
entrare,porta, , , , ,Y
entrare,casa, , , , ,Y
entrare,scuola, , , , ,Y
gettare,sasso, , , , ,Y
io,giocare, , , , ,Y
giocare,capanna, , , , ,Y
giocare,macchine, , , , ,Y
giocare,nascondino, , , , ,Y
giocare,palla, , ,V,football,Y
giocare,chitarra, , , , ,Y
io,gridare, , , , ,Y
io,guardare, , , , ,Y
guardare,pigiamask, , , , ,Y
guardare,tre porcellini, , , , ,Y
guardare,tutti i giorni, , ,Y,https://www.youtube.com/watch?v=y8cRTh15jIc,Y
guardare,o mai darlin, , ,Y,https://www.youtube.com/watch?v=4-Qh-zRh58g,Y
guardare,cavalli, , , , ,Y
lavare,denti, , , , ,Y
lavare,mani, , , , ,Y
lavare,viso, , , , ,Y
io,lavare, , , , ,Y
io,mangiare, , , , ,Y
mangiare,pane, , , , ,Y
mangiare,grissino, , , , ,Y
mangiare,banana, , , , ,Y
mangiare,fragole, , , , ,Y
mangiare,frittata, , , , ,Y
mangiare,pomodoro, , , , ,Y
mangiare,polpetta, , , , ,Y
mangiare,spaghetti, , , , ,Y
mettere,cappello, , , , ,Y
mettere,scarpe, , , , ,Y
gatto,miagolare, , , , ,Y
io,nascondere, , , , ,Y
nonna,nascondere, , , , ,Y
nonno,nascondere, , , , ,Y
io,piangere, , , , ,Y
nonna,piangere, , , , ,Y
nonno,piangere, , , , ,Y
pulire,tovagliolo, , , , ,Y
pulire,bocca, , , , ,Y
io,ridere, , , , ,Y
salire,scale, , , , ,Y
io,saltare, , , , ,Y
saltare,divano, , , , ,Y
scendere,scale, , , , ,Y
slacciare,scarpe, , , , ,Y
io,sorridere, , , , ,Y
io,specchiare, , , , ,Y
specchio,specchiare, , , , ,Y
spegnere,televisione, , , , ,Y
spegnere,luce, , , , ,Y
spegnere,tablet, , , , ,Y
togliere,cappello, , , , ,Y
togliere,scarpe, , , , ,Y
sole,tramontare, , , , ,Y
desideri,desideri, ,TLM, , ,Y
emozioni,emozioni, ,TLM, , ,Y
famiglia,famiglia, ,TLM, , ,Y
giochi,giochi, ,TLM, , ,Y
cibo,cibo, ,TLM, , ,Y
animali,animali, ,TLM, , ,Y
numeri,uno, ,SLM, , ,Y
numeri,due, ,SLM, , ,Y
numeri,tre, ,SLM, , ,Y
numeri,quattro, ,SLM, , ,Y
numeri,cinque, ,SLM, , ,Y
numeri,sei, ,SLM, , ,Y
numeri,sette, ,SLM, , ,Y
numeri,otto, ,SLM, , ,Y
numeri,nove, ,SLM, , ,Y
numeri,dieci, ,SLM, , ,Y
colorare,tablet, ,SLM, , ,Y
colorare,foglio, ,SLM, , ,Y
animali,scoiattolo, ,SLM, , ,Y 
animali,topo, ,SLM, , ,Y
animali,balena, ,SLM, , ,Y
animali,gatto, ,SLM, , ,Y
animali,cane, ,SLM, , ,Y
animali,giraffa, ,SLM, , ,Y
animali,elefante, ,SLM, , ,Y
animali,leone, ,SLM, , ,Y
animali,uccello, ,SLM, , ,Y
animali,anatra, ,SLM, , ,Y
animali,gallina, ,SLM, , ,Y
animali,tacchino, ,SLM, , ,Y
animali,cigno, ,SLM, , ,Y
animali,piccione, ,SLM, , ,Y
animali,pesce, ,SLM, , ,Y
animali,tartaruga, ,SLM, , ,Y
animali,asino, ,SLM, , ,Y
animali,pecora, ,SLM, , ,Y
animali,cavallo, ,SLM, , ,Y
animali,capra, ,SLM, , ,Y
animali,ape, ,SLM, , ,Y
animali,formica, ,SLM, , ,Y
animali,rana, ,SLM, , ,Y
spiaggia,ombrelloni, ,SLM, , ,Y
spiaggia,mare, ,SLM, , ,Y
